projects,commit,commit1,commit2,comment,contributor,fork,open_issue,closed_issue,mark,starers,forks
matplotlib_projects,0.024049845,0.001457683,0.010955918,0.281483232,72.75246723,371.997339,39.91517057,75.10051828,1,4578,2251
MBSwitch_projects,1.559410899,1.082146463,0.811819259,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,458,89
minf1_mi2_p1_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,2,0
mochijson3_projects,52.37078526,81.98722578,52.72811079,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,6,0
module-deps_projects,0.330317773,0.065901656,0.141488475,7.86463029,72.75246723,371.997339,39.91517057,75.10051828,1,161,82
nginx-mysql-module_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,9.322587888,13.52870632,75.10051828,1,51,26
nodejsdb_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,21,0
octavious_projects,4.940673931,4.104541496,2.196307698,102.7201466,13.66665588,224.5796078,39.91517057,12.37061205,1,14,2
Parse-Channel-Script_projects,80.04863744,81.98722578,80.66083001,102.7201466,68.24857661,371.997339,39.91517057,75.10051828,1,3,0
plow_projects,9.372504969,4.803780891,2.290081685,102.7201466,10.05178522,371.997339,39.91517057,75.10051828,1,,
qrcode-web_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,3,0
rack-git-up_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,1,0
rails3_template_projects,1.206918756,1.066459672,0.67155457,27.45809338,72.75246723,371.997339,39.91517057,75.10051828,1,128,36
RDHJSONObjectSerialisation_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,5,0
resque_failed_job_mailer_projects,52.37078526,81.98722578,52.72811079,102.7201466,68.24857661,371.997339,39.91517057,75.10051828,1,5,4
roboblogger_projects,66.09761646,125.1004612,53.17217509,102.7201466,72.75246723,371.997339,39.91517057,21.99260242,1,3,0
rpresent_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,6,1
sammy-data-location-proxy-bug_projects,80.04863744,81.98722578,80.66083001,102.7201466,68.24857661,371.997339,39.91517057,75.10051828,1,2,0
scriptaculous_projects,1.818395959,6.873861222,0.912393003,13.17875057,72.75246723,371.997339,39.91517057,75.10051828,1,2364,521
servus_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,3,0
sleeping-wolf_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,12.83627554,75.10051828,1,11,0
tailgate_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,13,0
ThinkSQL_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,5,1
varnish-geoip_projects,13.27690644,33.1726042,10.76395736,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,48,16
